user_id,activity_level,home_type,grooming_preference,time_available,experience_level,preferred_dog_size
149,Moderate,Large Apartment,High,Full-time,First-time owner,Small
150,Very High,Rural,Medium,Full-time,First-time owner,Large
151,Low,House,Medium,Minimal,Expert,Large
152,Low,House,Very High,Part-time,Expert,Medium
153,Low,Rural,Low,Part-time,Experienced,Large
154,Very High,Large Apartment,Very Low,Full-time,Expert,Medium
155,Very Low,House,Medium,Full-time,Experienced,Small
156,Low,Small Apartment,Medium,Part-time,First-time owner,Small
157,Very High,Large Apartment,High,Part-time,Experienced,Small
158,Low,Rural,Very High,Minimal,First-time owner,Large
159,Low,Rural,Very High,Minimal,Expert,Medium
160,High,Rural,Low,Full-time,Expert,Medium
161,Moderate,Large Apartment,Very Low,Part-time,First-time owner,Small
162,High,House,Medium,Part-time,First-time owner,Large
163,Moderate,Large Apartment,Very High,Limited,Expert,Medium
164,Very Low,House,Very High,Part-time,Experienced,Large
165,Very Low,Rural,Low,Part-time,First-time owner,Large
166,Moderate,Small Apartment,Low,Full-time,First-time owner,Small
167,Low,Small Apartment,Very Low,Part-time,Expert,Small
168,Low,Rural,Medium,Part-time,First-time owner,Medium
169,Very Low,Large Apartment,High,Part-time,Expert,Small
170,Very Low,House,Very High,Limited,First-time owner,Large
171,Very Low,Small Apartment,Very High,Limited,First-time owner,Small
172,Low,Rural,Medium,Limited,Expert,Medium
173,Very Low,Large Apartment,Very Low,Part-time,Experienced,Medium
174,Very High,Large Apartment,Very Low,Full-time,First-time owner,Small
175,Low,Small Apartment,Medium,Limited,Expert,Small
176,Very Low,House,Very Low,Minimal,Experienced,Large
177,High,Rural,Low,Part-time,Expert,Large
178,Moderate,House,Medium,Full-time,First-time owner,Medium
179,Very Low,Large Apartment,High,Minimal,Experienced,Small
180,Very Low,Large Apartment,Medium,Minimal,First-time owner,Medium
181,High,Small Apartment,Very Low,Full-time,Expert,Small
182,Very Low,Large Apartment,Low,Limited,Expert,Medium
183,Moderate,Rural,Very Low,Full-time,Experienced,Large
184,Low,Large Apartment,Medium,Minimal,First-time owner,Small
185,Low,Rural,High,Minimal,Experienced,Medium
186,Very High,Small Apartment,High,Part-time,Expert,Small
187,Moderate,Small Apartment,Very High,Limited,First-time owner,Small
188,Low,House,High,Limited,Experienced,Small
189,Very Low,Rural,Very Low,Part-time,Experienced,Medium
190,Very Low,House,Very High,Minimal,First-time owner,Medium
191,Very Low,Rural,Low,Limited,Experienced,Large
192,Low,Large Apartment,Very High,Full-time,Experienced,Small
193,Very High,Rural,Medium,Full-time,First-time owner,Large
194,Low,Small Apartment,Medium,Minimal,Expert,Small
195,Moderate,House,Very High,Limited,First-time owner,Small
196,Very Low,Rural,Very High,Minimal,Experienced,Medium
197,Moderate,House,Very Low,Full-time,First-time owner,Large
198,Very Low,Large Apartment,High,Minimal,Experienced,Small
199,Moderate,Rural,Very High,Part-time,First-time owner,Medium
200,Low,Small Apartment,High,Limited,First-time owner,Small
201,Low,Rural,High,Minimal,Experienced,Medium
202,Moderate,Small Apartment,Medium,Full-time,Experienced,Small
203,Low,Large Apartment,High,Part-time,First-time owner,Small
204,Low,House,Very High,Limited,Expert,Large
205,Very High,Small Apartment,Very Low,Full-time,Experienced,Small
206,Very High,Rural,Very Low,Part-time,Experienced,Medium
207,High,Large Apartment,Medium,Full-time,Expert,Medium
208,Very Low,Rural,Very High,Full-time,Expert,Large
209,Low,House,Very High,Part-time,First-time owner,Small
210,Very Low,House,Very High,Full-time,First-time owner,Small
211,Very High,Large Apartment,High,Part-time,Experienced,Medium
212,Low,House,Very High,Full-time,Experienced,Medium
213,High,Small Apartment,Very High,Full-time,Experienced,Small
214,Moderate,Large Apartment,High,Limited,Experienced,Small
215,Very Low,Large Apartment,Very Low,Limited,First-time owner,Medium
216,Very Low,Rural,Low,Full-time,Experienced,Large
217,Very High,Small Apartment,Low,Part-time,Experienced,Small
218,Moderate,Rural,Very Low,Limited,Expert,Medium
219,High,Rural,Very High,Part-time,First-time owner,Large
220,Moderate,House,Very Low,Full-time,Experienced,Large
221,Very Low,House,Low,Minimal,Experienced,Small
222,Very Low,House,Low,Minimal,Expert,Medium
223,Very High,Large Apartment,High,Part-time,First-time owner,Small
224,Low,Rural,Medium,Minimal,Expert,Large
225,Moderate,Large Apartment,Very Low,Limited,Experienced,Small
226,Low,House,Medium,Part-time,Expert,Small
227,Very Low,House,Very Low,Minimal,First-time owner,Medium
228,Low,Large Apartment,Medium,Limited,Experienced,Small
229,Low,Rural,High,Minimal,Expert,Large
230,Very Low,House,Very High,Limited,First-time owner,Small
231,Very Low,Small Apartment,Very Low,Minimal,Experienced,Small
232,High,House,Medium,Part-time,Experienced,Large
233,Low,Rural,Very Low,Minimal,Expert,Large
234,Very Low,House,Very Low,Minimal,Expert,Small
235,Low,Large Apartment,High,Full-time,Experienced,Medium
236,Very Low,Rural,Low,Limited,Expert,Medium
237,Low,Rural,Low,Limited,First-time owner,Medium
238,Low,Large Apartment,Low,Minimal,Expert,Medium
239,High,Rural,Medium,Full-time,Expert,Large
240,Moderate,Small Apartment,Very High,Part-time,Expert,Small
241,Low,Rural,Medium,Limited,Expert,Medium
242,Very High,Large Apartment,Low,Part-time,First-time owner,Medium
243,Low,Large Apartment,High,Minimal,Expert,Small
244,Very Low,House,Low,Limited,First-time owner,Medium
245,Low,Small Apartment,Medium,Part-time,First-time owner,Small
246,Moderate,Rural,High,Full-time,Experienced,Medium
247,Very High,House,Low,Part-time,Expert,Small
248,Very High,House,High,Part-time,First-time owner,Large
249,Low,Rural,Low,Full-time,First-time owner,Medium
250,Very Low,Small Apartment,Very Low,Limited,First-time owner,Small
251,Very High,House,Medium,Full-time,First-time owner,Large
252,Low,Rural,Very Low,Minimal,Experienced,Large
253,Very Low,Large Apartment,Low,Minimal,Expert,Small
254,Low,Small Apartment,Very Low,Minimal,Experienced,Small
255,Moderate,Small Apartment,Very Low,Part-time,Expert,Small
256,Very Low,Large Apartment,High,Limited,First-time owner,Small
257,Very Low,House,Low,Full-time,Experienced,Small
258,Low,Rural,Very High,Minimal,Experienced,Medium
259,Low,Small Apartment,High,Full-time,Expert,Small
260,Very Low,Rural,Very Low,Full-time,Experienced,Medium
261,Very High,House,High,Part-time,First-time owner,Small
262,High,House,High,Full-time,Experienced,Small
263,High,Large Apartment,Very Low,Full-time,Experienced,Small
264,Moderate,Small Apartment,High,Limited,Experienced,Small
265,Very High,Small Apartment,Low,Part-time,First-time owner,Small
266,Moderate,House,Very High,Part-time,Experienced,Small
267,Low,Large Apartment,Low,Limited,First-time owner,Small
268,Low,House,Very High,Limited,First-time owner,Large
269,Moderate,House,High,Part-time,First-time owner,Small
270,Very High,Large Apartment,Medium,Full-time,Experienced,Small
271,Low,House,Very Low,Limited,First-time owner,Small
272,Low,Small Apartment,Very High,Part-time,First-time owner,Small
273,Low,Large Apartment,Low,Minimal,First-time owner,Medium
274,Low,House,Very High,Full-time,First-time owner,Medium
275,High,House,Medium,Full-time,Expert,Large
276,Very Low,Rural,High,Full-time,Experienced,Medium
277,Very Low,House,Low,Minimal,Experienced,Small
278,Very High,Large Apartment,Very High,Full-time,Expert,Small
279,Low,Large Apartment,Low,Limited,Expert,Medium
280,Low,Rural,Medium,Minimal,Expert,Medium
281,High,Rural,Medium,Full-time,Expert,Large
282,Low,Small Apartment,Very High,Part-time,Expert,Small
283,Very Low,Large Apartment,Medium,Full-time,Experienced,Medium
284,Low,Rural,Low,Limited,First-time owner,Medium
285,Moderate,Small Apartment,Low,Limited,First-time owner,Small
286,Very High,Large Apartment,High,Full-time,First-time owner,Small
287,Very High,Rural,Very Low,Full-time,Experienced,Medium
288,Very Low,Large Apartment,Medium,Full-time,Experienced,Medium
289,Very Low,Large Apartment,Medium,Minimal,First-time owner,Small
290,High,Small Apartment,Low,Part-time,First-time owner,Small
291,Very High,Rural,High,Part-time,Experienced,Large
292,Very High,Small Apartment,High,Full-time,First-time owner,Small
293,Low,Large Apartment,Low,Limited,Expert,Medium
294,Low,Small Apartment,Very Low,Limited,Expert,Small
295,Low,Small Apartment,Low,Part-time,Experienced,Small
296,Moderate,Rural,High,Part-time,Expert,Medium
297,Low,Large Apartment,Medium,Limited,Expert,Small
298,Low,House,Very High,Full-time,Experienced,Small
299,Low,House,Very Low,Part-time,Expert,Small
300,High,Rural,Low,Full-time,First-time owner,Large
301,Very High,Small Apartment,Very High,Full-time,Experienced,Small
302,Very High,Large Apartment,Medium,Part-time,First-time owner,Medium
303,Very Low,Small Apartment,High,Minimal,Experienced,Small
304,Very High,Rural,Low,Full-time,First-time owner,Large
305,Low,Large Apartment,High,Full-time,First-time owner,Medium
306,High,House,High,Part-time,Expert,Small
307,High,Large Apartment,Low,Full-time,First-time owner,Medium
308,Very Low,Rural,Medium,Part-time,Expert,Medium
309,Very High,Small Apartment,Medium,Part-time,Experienced,Small
310,High,Large Apartment,High,Part-time,Expert,Medium
311,Low,Rural,Medium,Full-time,First-time owner,Large
312,Very Low,Large Apartment,Low,Part-time,First-time owner,Small
313,Very Low,House,High,Minimal,Expert,Small
314,Very Low,Large Apartment,Very High,Minimal,Expert,Medium
315,High,Small Apartment,Very Low,Full-time,Experienced,Small
316,Very Low,Small Apartment,Low,Limited,Experienced,Small
317,Low,Large Apartment,High,Limited,Expert,Small
318,Very Low,Large Apartment,Medium,Full-time,First-time owner,Medium
319,Moderate,Rural,Medium,Part-time,Expert,Medium
320,High,House,Medium,Full-time,Expert,Small
321,Very Low,Small Apartment,Medium,Minimal,Expert,Small
322,Low,House,Very High,Full-time,First-time owner,Small
323,Very Low,Large Apartment,Very Low,Full-time,Expert,Medium
324,Low,Small Apartment,Low,Full-time,First-time owner,Small
325,Very Low,Rural,Medium,Minimal,Expert,Large
326,Moderate,Small Apartment,Medium,Limited,Experienced,Small
327,Very High,Large Apartment,Medium,Part-time,Experienced,Small
328,Low,Rural,Very High,Minimal,Expert,Large
329,Very Low,Rural,Very Low,Full-time,Expert,Large
330,Very Low,Rural,Very Low,Full-time,First-time owner,Large
331,Low,Large Apartment,Low,Part-time,Expert,Medium
332,Moderate,Small Apartment,High,Full-time,Expert,Small
333,Low,Large Apartment,Very High,Minimal,First-time owner,Small
334,Moderate,House,Very Low,Limited,First-time owner,Medium
335,Very High,Rural,Medium,Part-time,Expert,Medium
336,Moderate,Rural,Medium,Limited,Experienced,Medium
337,Low,Small Apartment,Low,Limited,Experienced,Small
338,Moderate,Small Apartment,Low,Limited,Experienced,Small
339,Low,Rural,High,Minimal,Experienced,Large
340,Low,Rural,Very High,Minimal,Expert,Medium
341,Low,Rural,Very Low,Minimal,Expert,Large
342,Moderate,House,Low,Full-time,Experienced,Large
343,Very Low,Small Apartment,High,Limited,Experienced,Small
344,Low,Small Apartment,Medium,Limited,Experienced,Small
345,Very High,Large Apartment,Very High,Part-time,Experienced,Medium
346,Low,Small Apartment,Low,Minimal,Expert,Small
347,Moderate,Large Apartment,Very High,Limited,First-time owner,Small
348,Moderate,Small Apartment,High,Limited,Experienced,Small
349,Low,Rural,High,Minimal,Expert,Medium
350,Low,House,Very Low,Minimal,First-time owner,Large
351,Low,Large Apartment,Very High,Minimal,First-time owner,Small
352,Moderate,Large Apartment,Very High,Part-time,Expert,Small
353,Low,Small Apartment,High,Full-time,First-time owner,Small
354,Low,Small Apartment,Very High,Part-time,Expert,Small
355,Moderate,Rural,Medium,Limited,First-time owner,Large
356,Low,Rural,Very High,Full-time,Experienced,Medium
357,Very High,Small Apartment,Very Low,Full-time,First-time owner,Small
358,Low,Large Apartment,High,Minimal,First-time owner,Medium
359,Very Low,Small Apartment,Very High,Limited,First-time owner,Small
360,Low,Rural,Medium,Minimal,Expert,Large
361,Very High,House,Very Low,Full-time,First-time owner,Small
362,Very Low,Large Apartment,Medium,Minimal,Expert,Medium
363,Low,Small Apartment,Very Low,Part-time,Experienced,Small
364,Very Low,Rural,Low,Limited,Experienced,Large
365,Moderate,Rural,Medium,Full-time,First-time owner,Large
366,Low,Large Apartment,Low,Minimal,Expert,Small
367,Low,Large Apartment,Very High,Minimal,First-time owner,Medium
368,Low,Rural,Low,Minimal,First-time owner,Medium
369,Very Low,House,Very High,Minimal,Experienced,Medium
370,Low,Large Apartment,Very High,Limited,First-time owner,Small
371,Moderate,Small Apartment,Very High,Full-time,First-time owner,Small
372,Very Low,House,Very Low,Part-time,Experienced,Medium
373,Low,Large Apartment,Low,Minimal,First-time owner,Medium
374,Low,House,Low,Limited,Expert,Small
375,Moderate,Rural,Low,Full-time,Expert,Large
376,Low,House,Very High,Limited,First-time owner,Large
377,Moderate,House,Very High,Full-time,First-time owner,Medium
378,Low,Large Apartment,Low,Minimal,Expert,Small
379,Moderate,Small Apartment,Medium,Part-time,Experienced,Small
380,Very Low,Rural,High,Part-time,Experienced,Medium
381,Very High,Rural,Very High,Part-time,Expert,Medium
382,Very Low,Small Apartment,High,Limited,First-time owner,Small
383,Very Low,Rural,Very High,Limited,Expert,Medium
384,Very Low,Small Apartment,Very High,Limited,Experienced,Small
385,Very Low,House,Very High,Minimal,Experienced,Small
386,Low,Rural,High,Part-time,First-time owner,Large
387,Low,Small Apartment,Very Low,Limited,Expert,Small
388,Very Low,Large Apartment,Very High,Minimal,Expert,Small
389,High,Small Apartment,Low,Part-time,Experienced,Small
390,High,House,Medium,Full-time,Expert,Medium
391,Very Low,Rural,Medium,Limited,Experienced,Large
392,High,Large Apartment,High,Full-time,First-time owner,Medium
393,Low,Large Apartment,High,Minimal,Expert,Medium
394,Moderate,Rural,Very High,Full-time,First-time owner,Large
395,Very High,Large Apartment,Very High,Full-time,Experienced,Medium
396,Low,Large Apartment,Medium,Limited,Expert,Medium
397,High,House,High,Full-time,First-time owner,Small
398,Moderate,House,Medium,Part-time,Experienced,Large
399,Very Low,Small Apartment,Low,Full-time,Expert,Small
400,Very Low,Rural,Very High,Minimal,Expert,Medium
401,Very Low,Large Apartment,Very High,Part-time,Expert,Medium
402,High,Small Apartment,High,Part-time,First-time owner,Small
403,Low,House,High,Limited,Experienced,Small
404,Very High,Large Apartment,High,Full-time,Expert,Medium
405,Low,Large Apartment,High,Part-time,Experienced,Medium
406,Very Low,House,Low,Limited,Expert,Medium
407,Low,Small Apartment,High,Minimal,First-time owner,Small
408,Moderate,Rural,Very High,Part-time,Experienced,Medium
409,Low,Rural,Very Low,Minimal,First-time owner,Large
410,Very High,Small Apartment,Low,Full-time,Expert,Small
411,Moderate,Small Apartment,Very High,Limited,Expert,Small
412,Low,Large Apartment,High,Full-time,First-time owner,Medium
413,High,Rural,High,Full-time,First-time owner,Medium
414,Low,House,Medium,Minimal,Experienced,Large
415,Low,Small Apartment,Very Low,Minimal,First-time owner,Small
416,Very High,Large Apartment,Medium,Full-time,First-time owner,Medium
417,Low,Large Apartment,Low,Full-time,Experienced,Medium
418,Very High,Large Apartment,Very Low,Part-time,Expert,Medium
419,Moderate,House,Low,Part-time,First-time owner,Medium
420,Moderate,Large Apartment,Medium,Limited,Experienced,Small
421,Very Low,House,Low,Limited,Experienced,Large
422,Very High,House,Very High,Part-time,Experienced,Large
423,Very Low,House,Low,Part-time,First-time owner,Medium
424,Low,Rural,Low,Minimal,First-time owner,Large
425,Moderate,Rural,Very High,Limited,Experienced,Large
426,Very Low,House,Low,Minimal,Experienced,Large
427,Very High,Large Apartment,High,Full-time,Expert,Medium
428,Low,House,Very Low,Full-time,First-time owner,Small
429,Low,Rural,Low,Minimal,Experienced,Medium
430,Low,Large Apartment,Very High,Limited,Expert,Small
431,Very Low,Rural,Very Low,Minimal,Expert,Medium
432,Very Low,Rural,Low,Limited,Experienced,Medium
433,Moderate,Rural,Very High,Full-time,Experienced,Medium
434,High,Small Apartment,High,Full-time,Expert,Small
435,Low,House,High,Limited,Expert,Medium
436,Low,House,Medium,Limited,Expert,Medium
437,Very High,Small Apartment,Very Low,Full-time,First-time owner,Small
438,Moderate,Large Apartment,Very Low,Limited,First-time owner,Medium
439,Very Low,Rural,Medium,Minimal,First-time owner,Medium
440,Very Low,Rural,Very High,Part-time,Experienced,Large
441,Very High,Rural,High,Full-time,Experienced,Medium
442,Very Low,Small Apartment,Very Low,Limited,First-time owner,Small
443,Moderate,Large Apartment,Very High,Full-time,Experienced,Small
444,High,Large Apartment,High,Full-time,Expert,Medium
445,Low,Rural,Very High,Part-time,First-time owner,Medium
446,Moderate,Small Apartment,High,Limited,Experienced,Small
447,Low,Large Apartment,Medium,Minimal,Expert,Medium
448,High,Large Apartment,Low,Full-time,Experienced,Medium
449,Very Low,Small Apartment,Medium,Limited,Expert,Small
450,High,Large Apartment,Medium,Full-time,Expert,Small
451,Moderate,House,Very Low,Full-time,First-time owner,Small
452,Very Low,Small Apartment,Very High,Limited,Expert,Small
453,Low,House,Very High,Minimal,Expert,Medium
454,High,Small Apartment,Very High,Full-time,Experienced,Small
455,Low,Rural,Low,Full-time,Expert,Medium
456,Moderate,Small Apartment,High,Limited,Expert,Small
457,Very High,Large Apartment,Very High,Part-time,Experienced,Small
458,Very High,Small Apartment,Low,Full-time,Experienced,Small
459,Low,House,Very Low,Minimal,Experienced,Small
460,Low,Rural,Very Low,Limited,Expert,Medium
461,Very Low,Large Apartment,Low,Limited,Experienced,Small
462,Very High,Rural,Very Low,Part-time,First-time owner,Large
463,Low,Small Apartment,Very High,Minimal,First-time owner,Small
464,Very High,Rural,Very High,Full-time,Expert,Medium
465,Low,Small Apartment,Very Low,Minimal,Expert,Small
466,Moderate,Small Apartment,Very Low,Part-time,First-time owner,Small
467,Very Low,Small Apartment,Very High,Full-time,Experienced,Small
468,Very Low,Rural,Very High,Limited,Expert,Medium
469,Low,Small Apartment,Very Low,Minimal,Experienced,Small
470,Low,Small Apartment,Very High,Full-time,Experienced,Small
471,Low,Small Apartment,Very Low,Limited,Expert,Small
472,Very Low,House,High,Minimal,First-time owner,Medium
473,Very Low,House,Very Low,Minimal,Experienced,Small
474,Moderate,House,Very High,Full-time,Expert,Medium
475,Very Low,Small Apartment,Medium,Minimal,Expert,Small
476,Low,Large Apartment,Very Low,Limited,First-time owner,Medium
477,Low,Small Apartment,Low,Limited,Expert,Small
478,Moderate,Rural,Very Low,Part-time,Experienced,Medium
479,Moderate,Large Apartment,High,Part-time,Experienced,Small
480,Low,Rural,Medium,Minimal,Expert,Large
481,Low,Large Apartment,High,Minimal,Expert,Medium
482,Very High,Rural,Very Low,Full-time,First-time owner,Medium
483,Very High,Rural,Very High,Full-time,Experienced,Medium
484,Moderate,Rural,Very Low,Limited,Experienced,Medium
485,Very Low,Large Apartment,Very Low,Minimal,Experienced,Medium
486,Low,House,High,Limited,First-time owner,Small
487,Low,Rural,Very Low,Minimal,Expert,Large
488,Low,Rural,Medium,Part-time,First-time owner,Medium
489,Very High,Small Apartment,Medium,Part-time,Experienced,Small
490,Low,Large Apartment,Very Low,Limited,First-time owner,Medium
491,Very Low,Large Apartment,Medium,Part-time,Experienced,Small
492,High,Rural,High,Full-time,Expert,Large
493,Very Low,Large Apartment,Very High,Limited,Expert,Small
494,High,Large Apartment,Low,Full-time,Expert,Medium
495,Low,Rural,High,Minimal,Expert,Medium
496,Low,House,Very Low,Minimal,First-time owner,Large
497,Very Low,Rural,Very Low,Minimal,First-time owner,Medium
498,Moderate,Rural,High,Limited,First-time owner,Large
499,Low,Small Apartment,Medium,Minimal,Experienced,Small
500,Low,Small Apartment,Medium,Minimal,First-time owner,Small
501,High,Rural,High,Full-time,First-time owner,Medium
502,Moderate,Rural,Very Low,Limited,Experienced,Medium
503,Low,Rural,Very Low,Limited,First-time owner,Medium
504,Moderate,Small Apartment,Medium,Part-time,Expert,Small
505,Low,Large Apartment,Very High,Minimal,Expert,Small
